Index,Title,True_Label,Predicted_Label,Result
19,COLLEGE PROFESSOR CAUGHT ON TAPE: You Can’t Have Peace If ‘Whiteness’ Exists…Poor Whites Also Have ‘Privilege”,Hoax,Hoax,CORRECT
20,Turkey's Erdogan targets U.S. ambassador over visa dispute,Factual,Hoax,WRONG
21,Senate's McConnell says Obamacare repeal high on agenda,Factual,Hoax,WRONG
22,BLACK LIVES MATTER ORGANIZER Refuses To Meet With Obama And Race Hustlers…Calls Meeting At White House: “Sham…Photo-Op…Sound Bite For Obama”,Hoax,Hoax,CORRECT
23,House oversight panel chair: Sessions should 'clarify his testimony',Factual,Factual,CORRECT
24,Factbox: Long history of U.S. leakers to media facing charges,Factual,Hoax,WRONG
25,"HILLARY PANDERS FOR BLACK VOTE: Busts Out In AWKARD, Fake Laugh When “Grieving Mom” Brings Up Cheating Bill [VIDEO]",Hoax,Hoax,CORRECT
26,BRAVE FBI AGENTS Come Forward On Clinton Email Scandal: “Comey thought this was going to go away”,Hoax,Hoax,CORRECT
27,EU Commission 'horrified' by killing of Maltese journalist,Factual,Factual,CORRECT
28, CAUGHT ON CAMERA: Trump Supporter Goes RABID Against Hillary Supporters On Flight (VIDEO),Hoax,Hoax,CORRECT
29,"France wants Hariri movements' free, able to play role in Lebanon",Factual,Factual,CORRECT
30,VIRAL VIDEO: MAN CALLS OUT BLACK LIVES MATTER For Not Helping Louisiana Flood Victims,Hoax,Hoax,CORRECT
31,"SAN BERNARDINO: Two Adults Dead, Two Injured In School Murder-Suicide",Hoax,Hoax,CORRECT
32,BUSTED! OBAMA’S DOJ EXTORTS MONEY FROM BANKS To Fund Radical Groups To Push Hillary Vote,Hoax,Hoax,CORRECT
33," WATCH: Morning Joe Host Tells Kellyanne Conway To Go F*ck Herself, BANS Her From Show",Hoax,Hoax,CORRECT
34,Factbox: Florida's most deadly and destructive hurricanes,Factual,Hoax,WRONG
35,Tokyo Governor Koike leaves door open for ruling party PM post election,Factual,Factual,CORRECT
36, GOP Rep. Steve King: The Time ‘Has Passed’ For Release Of Trump’s Tax Returns (VIDEO),Hoax,Hoax,CORRECT
37, Rush Limbaugh: Legalize Rape By Calling It A Civil Rights Issue (AUDIO),Hoax,Hoax,CORRECT
38,Pope candidly admits Church 'arrived late' in confronting abuse,Factual,Hoax,WRONG
39, Maine’s Governor Somehow Gets More Racist: I Can’t Understand Indian People Without Interpreter,Hoax,Hoax,CORRECT
40,Senators challenge Trump plan to privatize air traffic control,Factual,Hoax,WRONG
41,Germany's Merkel working toward spring meeting with Trump: sources,Factual,Hoax,WRONG
42,FLASHBACK VIDEO: Al Sharpton Assaults FOX News Reporter For Asking Baltimore Mayor Why She Allowed Thugs Loot And Burn Down Businesses,Hoax,Hoax,CORRECT
43,Croatia government survives no-confidence vote over Agrokor debt crisis,Factual,Factual,CORRECT
44,GOP LAWMAKER: Susan Rice Should Be Hit With Criminal Charges [Video],Hoax,Hoax,CORRECT
45," Alec Baldwin Just Put Trump’s Idiot Supporters In Their Place, And It Was Beautiful (VIDEO)",Hoax,Hoax,CORRECT
46,VIDEO SHOWS SCARY TRUTH About What Decades Of Democrat Ruled #DETROIT Looks Like Today…While Dem Mayor Tells Glowing Story Of “Success”,Hoax,Hoax,CORRECT
47,BEN CARSON Speaks Out On Trump Controversy…Democrats Are Panicking,Hoax,Factual,WRONG
48,"AMBASSADOR CHRIS STEVENS’ Fiancé Speaks Out About Hillary Leaving Him To Die: “If he was a friend, you don’t let a friend down” [VIDEO]",Hoax,Hoax,CORRECT
49,THOUSANDS Of Containers ROTTING At San Juan Port After STRIKING Union Drivers Allegedly REFUSE To Deliver Goods…LIBERAL Mayor Has Some Explaining To Do,Hoax,Factual,WRONG
50,"Trump ‘Diversity Council’ Member Threatens to Quit If Trump Ends DACA…Bye, Bye! [Video]",Hoax,Hoax,CORRECT
51,China's cyber watchdog imposes top fines on tech firms over censorship,Factual,Hoax,WRONG
52, Spike Lee Celebrates MLK Day By Announcing Boycott Of ‘Lily White’ Oscars (IMAGE/VIDEO),Hoax,Factual,WRONG
53, With One Tweet Elizabeth Warren Lays Down The Solid Truth About This Week’s Killings,Hoax,Factual,WRONG
54,Scottish parliament offices briefly evacuated in suspect white powder scare,Factual,Factual,CORRECT
55,WATCH DESPERATE GRANNY HILLARY CLINTON: Hip Selfies And TV Appearances On Ellen As She Sinks In The Polls,Hoax,Factual,WRONG
56,"WOW! CHICAGO REPORTEDLY FINDS At Least 14,000 More Votes Than Voters In 2016 Election",Hoax,Hoax,CORRECT
57,How Trump is Accelerating the Decline of US Global Influence,Hoax,Hoax,CORRECT
58, Trump Jr. Once Again Shows His Lack Of Humanity With Disgusting Tweet About Syrian Refugees,Hoax,Hoax,CORRECT
59,"WHEN A GOVERNMENT PUTS IMMIGRANTS BEFORE CITIZENS: Swedish Citizens Have No Place To Live, No Jobs, Need To Carry Guns Everywhere They Go",Hoax,Hoax,CORRECT
60,"Arizona Rancher Protesting in Oregon is Targeted by CPS, Loses Custody of Foster Children",Hoax,Hoax,CORRECT
61, Neil DeGrasse Tyson Perfectly Explains Why Black Lives Matter Exists,Hoax,Hoax,CORRECT
62,"Sickening Reason COP-HATING, RACIST 49’ers QB Colin Kaepernick Just Announced He’ll Now Stand For National Anthem",Hoax,Hoax,CORRECT
63, New Study PROVES It’s Republicans Who Are To Blame For Slow Economy,Hoax,Hoax,CORRECT
64,BREAKING: COURAGEOUS FEDERAL JUDGE DENIES OBAMA’S REQUEST TO LIFT STAY ON EXECUTIVE AMNESTY,Hoax,Hoax,CORRECT
65,Spanish foreign ministry says to expel North Korean ambassador,Factual,Factual,CORRECT
66,"Top Senate Republican, White House, aim for tax bill by year-end",Factual,Factual,CORRECT
67,UNHINGED PELOSI: It’s “Outrageous” That Republicans Blame Dems for Shooting: “Somewhere in the 90’s the Republicans went on the politics of personal destruction” [Video],Hoax,Hoax,CORRECT
68,"After U.S. veto, U.N. General Assembly to meet on Jerusalem status",Factual,Factual,CORRECT
69,WOW! NEW REPORT: IRS Didn’t Tell 1 Million Taxpayers That Illegals Stole Their Social Security Numbers!,Hoax,Hoax,CORRECT
70, MI Gov Rick Snyder Appoints Former Oil Lobbyist To Protect MI’s Environment,Hoax,Hoax,CORRECT
71,Turkey's Erdogan says U.S. courts cannot put Turkey on trial,Factual,Factual,CORRECT
72,"Ben Carson offered HUD post, will consider it: Carson spokesman",Factual,Hoax,WRONG
73,OBAMA HOSTS FUNDRAISER: Praises Clinton For Great Job “Making Life and Death Decisions”….Like Benghazi?,Hoax,Hoax,CORRECT
74, Syrian Military Knew Missile Attack Was Coming After Trump Told Putin About It,Hoax,Hoax,CORRECT
75, Grab Popcorn: Trump’s About To Have A Twitter Fit Over His ‘Record’ Approval Rating (TWEETS),Hoax,Hoax,CORRECT
76,PRICELESS! SEN CHUCK SCHUMER’S Childish Stunt To Bash Senate Healthcare Bill Backfires [Video],Hoax,Hoax,CORRECT
77,Trump administration reaches deal with Texas counties on immigration,Factual,Hoax,WRONG
78, Did Mike Pence Use The Police To Illegally Suppress The Vote Of Tens Of Thousands Of Black People In Indiana?,Hoax,Hoax,CORRECT
79, House Republican Wants To Ban The Treasury From Putting Harriet Tubman On Currency,Hoax,Hoax,CORRECT
80,"Spain's Rajoy calls for calm, says rule of law will be restored in Catalonia",Factual,Hoax,WRONG
81,CLINTON COVERUP: WHY WAS MAJOR CLINTON CRONY Put On Sensitive Intelligence Board? [Video],Hoax,Hoax,CORRECT
82,Widow of Russian major killed in Syria battles for compensation,Factual,Hoax,WRONG
83,MITCH MCCONNELL: The Senate Will Not Take Up Nomination of Merrick Garland,Hoax,Hoax,CORRECT
84,Fighting between rebel and army kills 27 in South Sudan,Factual,Hoax,WRONG
85,US Advising Soldiers to Be ‘Less Masculine’ as Military Tries to Curb Flood of Sexual Harassment Cases,Hoax,Hoax,CORRECT
86, WATCH: Mike Pence Gets Embarrassing Grilling After He Evades Simple Question,Hoax,Hoax,CORRECT
87,Bahrain calls pipeline blast 'terrorism' linked to Iran,Factual,Hoax,WRONG
88,PHOTOS: TRUMP’S NOT SPOOKED BY MUELLER: Attends White House Halloween Party,Hoax,Factual,WRONG
89,Clinton to press Trump to spell out policy plans in presidential debate,Factual,Factual,CORRECT
90,'Expats go home': Amsterdam's visitor boom angers locals,Factual,Hoax,WRONG
91,WATCH 8TH Grader DESTROY Disgraced Detroit City Council Member And Wife Of US Representative In Debate [VIDEO],Hoax,Hoax,CORRECT
92,"Musk, Iger to quit Trump advisory councils after Paris accord decision",Factual,Factual,CORRECT
93,One person killed by car bomb attack in Somalia's capital,Factual,Factual,CORRECT
94,#SteveBannon’s Secret “To Do” List Is Accidentally Captured In Photo…Democrat Heads Will Explode When They See This,Hoax,Hoax,CORRECT
95,Facebook's political influence under a microscope,Factual,Factual,CORRECT
96, Trump’s Trying To Attend Muhammad Ali’s Muslim Funeral – His Family’s Response Is Brilliant,Hoax,Factual,WRONG
97,TRUMP CALLS OUT Washington Post #FakeNews Reporter For Posting Fake Pictures Of Rally Hours Before It Started…Posts Actual Pictures Of Packed Stadium,Hoax,Hoax,CORRECT
98,"Immigration provision cut from Obamacare rollback, angering conservatives",Factual,Hoax,WRONG
99,Lebanese woman shot dead by four-year-old son in gun accident,Factual,Hoax,WRONG
100,“MODERATE” MUSLIM SILENCE? Neighbors: “They Kept To Themselves…They Did Not Wear Religious Garb”…PEOPLE WHO KNEW HIM: “He Expressed Support For Terror Groups”,Hoax,Hoax,CORRECT
101,"Iranian general, Assad discuss joint military strategy: report",Factual,Hoax,WRONG
102,REPORT: REAL REASON CHRIS CHRISTIE Was Demoted On Trump’s Transition Team,Hoax,Hoax,CORRECT
103,California lawmakers pass rape bill inspired by Stanford case,Factual,Hoax,WRONG
104,DNC CHAIR TOM PEREZ DOUBLES DOWN: No Regrets For Nasty Language In Speech [Video],Hoax,Hoax,CORRECT
105,Saudi Arabia says Saudi citizen kidnapped in Lebanon,Factual,Factual,CORRECT
106,"In talks with U.S., China calls for diplomacy on North Korea",Factual,Factual,CORRECT
107,Professor: Political Ignorance is “Going To Have Consequences”,Hoax,Factual,WRONG
108, Donald Trump Jr. Says Bragging About Sexual Assault Is Just ‘A Fact Of Life’,Hoax,Hoax,CORRECT
109," Cosmetic Company Posts Pic Of Black Woman’s Lips, Racist Trolls Explode (IMAGES)",Hoax,Hoax,CORRECT
110,Factbox: Key players in South Africa's ANC leadership race,Factual,Hoax,WRONG
111,"EU sticks to Libya strategy on migrants, despite human rights concerns",Factual,Factual,CORRECT
112,France's Macron firms up bounce in opinion polls,Factual,Hoax,WRONG
113,Turkish court keeps opposition newspaper staff in jail during trial,Factual,Hoax,WRONG
114, WATCH: Liberal Redneck Completely Demolishes Ted Cruz (VIDEO),Hoax,Hoax,CORRECT
115,Trump says Mexico would repay U.S. funds spent on border wall,Factual,Hoax,WRONG
116,Pentagon revises law of war manual after criticism of press treatment,Factual,Factual,CORRECT
117,Factbox: What Trump has said about the United Nations,Factual,Hoax,WRONG
118,Former head of Muslim Brotherhood dies in hospital: lawyer,Factual,Factual,CORRECT
119,PARENTS JAILED AND KIDS TAKEN AWAY FOR 90 MINUTE DELAY IN GETTING HOME TO 11-YEAR OLD,Hoax,Hoax,CORRECT
120, WATCH: Ellen DeGeneres Cleverly Uses ‘Finding Dory’ To Teach Trump That Walls Don’t Work,Hoax,Hoax,CORRECT
121,CNN ANCHOR: Fox Does A ‘Disservice’ To Viewers By TELLING THE TRUTH [VIDEO],Hoax,Hoax,CORRECT
122,TELL-ALL BOOK Exposes What A Nightmare Hillary Clinton Was To White House Staff…”Jekyll and Hyde”,Hoax,Hoax,CORRECT
123,ARNOLD SCHWARZENEGGER Sends A Message To Liberals Whining About Trump [Video],Hoax,Hoax,CORRECT
124,WHAT IF The Presidential Race Was A NASCAR Event?,Hoax,Hoax,CORRECT
125,VICE MAGAZINE CALLS FOR ISIS-LIKE DESTRUCTION: “Let’s Blow Up Mount Rushmore”,Hoax,Hoax,CORRECT
126,Russians discussed how to influence Trump via his aides: NYT,Factual,Hoax,WRONG
127,U.S. intel official: No doubt North Korea tested advanced device,Factual,Hoax,WRONG
128,DOUBLE STANDARD? WHITE MLB Player Suspended For Criticizing #BlackLivesMatter…NFL IGNORES Black Player’s Instagram Post Of Cop’s Neck Being Slit,Hoax,Hoax,CORRECT
129,"'I didn't think it was a big deal,' Clinton says of pneumonia bout",Factual,Factual,CORRECT
130,"On TV, France's Macron looks to style, viewers question substance",Factual,Hoax,WRONG
131,OBAMA REGIME’S SECRET ASIAN TRADE DEAL Would Let International Tribunal Overrule State and Fed Laws To Benefit Foreign Companies,Hoax,Hoax,CORRECT
132,Global backlash grows against Trump's immigration order,Factual,Hoax,WRONG
133,WATCH: FOX SPORTS RADIO HOST Nearly Shuts Down CNN Interview When He Offends Hypocritical Host With ONE Word,Hoax,Hoax,CORRECT
134,Trump campaign manager says he called reporter after run-in: CNN,Factual,Hoax,WRONG
135,Saudi Arabia arrests 46 for stirring divisions: state media,Factual,Factual,CORRECT
136,"Trump loan to Puerto Rico a start, but more aid to come: official",Factual,Factual,CORRECT
137,Clinton warned U.S. would 'ring China with missile defense': hacked email,Factual,Hoax,WRONG
138, How Obama’s SCOTUS Pick Nailed The Worst Domestic Terrorist In U.S. History (VIDEO),Hoax,Factual,WRONG
139,Ivanka Trump becomes unpaid White House employee,Factual,Factual,CORRECT
140,India's push to broaden use of its biometric database,Factual,Factual,CORRECT
141,WATCH: Black Vanderbilt Professor Exposes The REAL RACISTS In “The Inconvenient Truth About The Democrat Party”,Hoax,Hoax,CORRECT
142,House won't vote on healthcare law before break: lawmaker,Factual,Hoax,WRONG
143,Russia's ruling party seeks Putin's 'ultimate victory' at 2018 election,Factual,Hoax,WRONG
144,JUST ONE DISGRACEFUL PHOTO Captures The Essence Of Hillary Clinton’s Entire Campaign,Hoax,Hoax,CORRECT
145,"HILLARY SET TO DESTROY LIVES Of Proud, Hard-Working, Black Coal Miners To Satisfy Mostly White Environmental Activists [VIDEO]",Hoax,Hoax,CORRECT
146,Factbox: Key figures in Zimbabwe First Lady Grace Mugabe's 'G40' faction,Factual,Hoax,WRONG
147,No comment on Trump's Jerusalem move from Netanyahu in first speech,Factual,Factual,CORRECT
148,Macron fights 'president of the rich' tag after ending wealth tax,Factual,Hoax,WRONG
149,Trade in focus at hearing for Trump's nominee as ambassador to India,Factual,Factual,CORRECT
150,Germany's Gabriel calls Trump 'pioneer of a new authoritarian movement',Factual,Hoax,WRONG
151,OOPS! WAS ANTIFA TERRORIST Who Threatened Acid Attack On Trump Supporters Caught Violating His Probation Today? [VIDEO],Hoax,Hoax,CORRECT
152,Obama says both left and right are wrong on Wall Street rules,Factual,Factual,CORRECT
153,GOD SQUAD: Jury Finds Polygamous Mormon Towns Guilty of Discriminating Against ‘Non-Believers’,Hoax,Hoax,CORRECT
154,"WATCH NANCY PELOSI Say She’s “Heartbroken Over Death” Of Rep. Steve Scalise, Who’s Still Alive In Hospital [VIDEO]",Hoax,Hoax,CORRECT
155,Germany will await prosecution 'ok' before delivering Israeli subs: Spiegel,Factual,Hoax,WRONG
156,LEFTIST PROF WHO WANTS “Earth Constitution” Will Speak At Vatican Rollout Of Papal Document On Phony ‘Global Warming’,Hoax,Hoax,CORRECT
157,O’REILLY BLASTS FOX NEWS’ Liberal Murdoch Brothers After Disastrous Viewer Ratings Are Revealed,Hoax,Hoax,CORRECT
158,Conservatives bristle as Trump backs off Clinton prosecution,Factual,Factual,CORRECT
159, Arizona GOP Passes Bill To Punish Cities With Budget Cuts If They Pass Paid Sick Leave Laws,Hoax,Hoax,CORRECT
160, The Newest Clinton Email Scandal Actually PROVES There’s No Scandal,Hoax,Factual,WRONG
161,TREY GOWDY: “Look at the facts”…”Ambassador Stevens’ e-mails will give you chills” [Video],Hoax,Factual,WRONG
162,"Stung by criticism, Trump vows to work for ethnic harmony",Factual,Hoax,WRONG
163,'Time is running out:' Germany urges UK to move in Brexit talks,Factual,Factual,CORRECT
164,KING OBAMA Plans To Finish Term Traveling Around The World,Hoax,Hoax,CORRECT
165," In Effort To Hawk Phyllis Schlafly’s Book, Trump Calls Her Something Hilarious (TWEET)",Hoax,Hoax,CORRECT
166,IT’S WORSE THAN YOU THOUGHT! Emails Show Collusion Between Media And DNC…BIG TIME!,Hoax,Hoax,CORRECT
167,Russia not currently planning actions against U.S. media or social networks: RIA,Factual,Factual,CORRECT
168,Fired: Trump dumps top lawyer who defied immigration order,Factual,Factual,CORRECT
169,"CELEBRITY CRUISE LINE CEO Makes Political Statement With Stunning Open-Borders, Trump Bashing Ad [VIDEO]",Hoax,Hoax,CORRECT
170,U.S. files suit against DynCorp International over Iraq contract,Factual,Hoax,WRONG
171,"Factbox: Trump on Twitter (August 15) - Luther Strange, Manufacturing Council",Factual,Factual,CORRECT
172,"What? First Graders Asked Not to Use the Words ‘God’, ‘Jesus’ or ‘Devil’ in Class [Video]",Hoax,Hoax,CORRECT
173,"Trump seeks to ax Appalachia economic programs, causing worry in coal country",Factual,Hoax,WRONG
174, Trump’s Newest Foreign Policy Advisor Is One Of The Dumbest People To Ever Serve In Congress,Hoax,Hoax,CORRECT
175,JIMMY KIMMEL: Republicans ‘Should Be Praying for God to Forgive Them’ For Las Vegas Massacre,Hoax,Hoax,CORRECT
176,"BREAKING: CLOSE FRIEND Of Bill And Hillary Clinton, Huge Democrat Donor ARRESTED For Threatening To Kill President-Elect Trump At Inauguration",Hoax,Hoax,CORRECT
177,Insight: Emails show how Republicans lobbied to limit voting hours in North Carolina,Factual,Hoax,WRONG
178,IMF's Lagarde warns against Trump-style protectionism: FT,Factual,Factual,CORRECT
179,THINGS GET UGLY WHEN IRAQ VETERAN Confronts Terrorist Sympathizers Protesting On Street Corner [VIDEO],Hoax,Hoax,CORRECT
180, Boeing Cuts 10% Of Jobs After Receiving $8.7 Billion In Government Tax Breaks And Subsidies,Hoax,Hoax,CORRECT
181,CFPB director evasive about possible resignation to run for Ohio governor,Factual,Hoax,WRONG
182,WATCH: CNN’s Chris Cuomo Stunned At STUPIDITY of LaVar Ball After Refusing To “Thank” President Trump For Helping His Son Get Out of Chinese Jail Sentence,Hoax,Hoax,CORRECT
183,WHAT DONALD TRUMP LEARNED From His German Grandpa Friedrich Drumpf,Hoax,Hoax,CORRECT
184,"CBS 60 Minutes Withheld Trump’s Appeal to ‘Stop Attacking Minorities,’ and Ignored Reports of Attacks on Trump Supporters",Hoax,Hoax,CORRECT
185,"Two hurt after report of explosion near Glasgow, Scotland",Factual,Factual,CORRECT
186,Trump's defense chief says has no problems with media,Factual,Factual,CORRECT
187,ALERT: FLOOD OF CUBANS Breeze Across Texas Border As Tensions Rise,Hoax,Hoax,CORRECT
188,Germany may not agree new coalition until next year: Merkel ally,Factual,Hoax,WRONG
189, NSA Chief On Trump’s Russia/US Cybersecurity Unit Plan: That’s A Terrible Idea,Hoax,Hoax,CORRECT
190, Conservative Columnist Tries To Declare War On Iran On Behalf Of America,Hoax,Hoax,CORRECT
191,"Trump on Twitter (Sept 15): London attack, Chain migration, ESPN, U.S. Air Force",Factual,Hoax,WRONG
192,Philippines vows to crush pro-Islamic State groups after two leaders killed,Factual,Hoax,WRONG
193,Kenya's Odinga says October poll would be illegal,Factual,Hoax,WRONG
194, Lindsey Graham Sends A Final ‘F*** You’ To Trump As He Announces Who He Voted For (TWEETS),Hoax,Hoax,CORRECT
195,Iran names nuclear negotiating team member jailed for spying,Factual,Hoax,WRONG
196,New Zealand's Labour widens lead as governing party loses ground,Factual,Hoax,WRONG
197,Ousted Pakistani prime minister Nawaz Sharif returns to face trial,Factual,Factual,CORRECT
198,Transcripts of Clinton's Wall Street talks released in new Wikileaks dump,Factual,Factual,CORRECT
199, Former ‘Apprentice’ Contestants Unite AGAINST Trump – Issue BRUTAL Statements,Hoax,Hoax,CORRECT
200,JILL STEIN CONCEDES Recount In Michigan In Bizarre Press Conference [VIDEO],Hoax,Hoax,CORRECT
201, This Deranged Michigan Congressman Thinks Disaster Relief For Flint Is Unconstitutional: Here’s Why,Hoax,Hoax,CORRECT
202,U.S. judge refuses to halt New York nuclear power plant subsidies,Factual,Factual,CORRECT
203,Trump takes potential VP running mates for test drives,Factual,Hoax,WRONG
204,POPE MAKES VISIT TO NUNS OBAMA REGIME IS SUING For Not Conforming To Obamacare Contraception Mandate,Hoax,Hoax,CORRECT
205,[Video] POLICE HAVE VERY GOOD REASON FOR BLOCKING NEWLY “ELECTED”MAYOR From Entering City Hall Office,Hoax,Hoax,CORRECT
206, Chelsea Handler Gets The Last Word After RNC Chair Attacks Hillary For Not Smiling (VIDEO),Hoax,Hoax,CORRECT
207,Trump names Dow Chemical CEO Liveris to head Manufacturing Council,Factual,Factual,CORRECT
208,"WOW! EVEN CNN’s REPORTING On Mueller’s New Russian Investigation Hires Who Made Major Contributions To Hillary, Barack, Schumer Campaigns",Hoax,Hoax,CORRECT
209, WATCH: Rachel Maddow Just Skillfully Exposed Trump’s ‘Deliberate’ Attempts To Spark A Race War (VIDEO),Hoax,Hoax,CORRECT
210," WATCH: Texas Lt. Gov. Goes Full Racist, Blames Black Lives Matter For Dallas Shooting",Hoax,Hoax,CORRECT
211,"MEET CONSERVATIVE MUSLIM Steve Bannon Hired For Key Position At Breitbart: Only Thing Left Knows Are “Smears, lies, hate, libel, defamation, and an abdication of decency”",Hoax,Hoax,CORRECT
212,"HYSTERICAL! TRUMP LIFE: “There ain’t a brother bigger, stronger, and more Gangsta than Donald J. Trump” [VIDEO]",Hoax,Hoax,CORRECT
213,U.S. farm heartland lobbies to steer Trump away from Mexico trade war,Factual,Hoax,WRONG
214,Puerto Rico senate approves bill to restructure utility PREPA,Factual,Factual,CORRECT
215," John McCain’s Granddaughter SHREDS Donald Trump, Declares Support For Hillary",Hoax,Hoax,CORRECT
216,WHY OBAMA IGNORED MURDER BY ILLEGAL ALIEN IN SANCTUARY CITY: You Have Never Seen Megyn Kelly This Mad Before!,Hoax,Hoax,CORRECT
217, Did You Spot The ‘Pants On Fire’ Moment In Trump’s First Campaign TV Ad? Politifact Did (VIDEO),Hoax,Hoax,CORRECT
218,TV Host Buys and Forgives $15m Worth of U.S. Medical Debt,Hoax,Hoax,CORRECT
219,Russia and China discuss coordination on North Korea,Factual,Factual,CORRECT
220,"Tillerson, Lavrov agree to continue North Korea diplomacy: U.S. State Department",Factual,Factual,CORRECT
221,"Serbian, Croatian police detain 17 for smuggling migrants to EU",Factual,Factual,CORRECT
222,'For the Party and the motherland!': North Korea's Kim heralds missile test after setbacks,Factual,Hoax,WRONG
223,"Trump urges India's Modi to fix deficit, but stresses strong ties",Factual,Factual,CORRECT
224, The Rolling Stones Are DONE With Trump Using Their Music (VIDEO),Hoax,Hoax,CORRECT
225, White House Officials CONFIRM: Trump Got His Story About Obama Tapping His ‘Wires’ Directly From Breitbart,Hoax,Factual,WRONG
226, Fox News Host Jesse Watters Takes ‘Vacation’ After Disgusting Comments About Ivanka Trump,Hoax,Hoax,CORRECT
227,"Husband of far-right AfD co-leader to quit party, lawmaker says",Factual,Hoax,WRONG
228, A Van Struck Down Muslims In London,Hoax,Hoax,CORRECT
229,4 Of 8 DETROIT MAYORAL Candidates Are Felons…Two Convicted Of Assault With Intent To Commit Murder: “Black marks on your record show you have lived a little…”,Hoax,Hoax,CORRECT
230,German citizen on trial in Turkey on political charges: media,Factual,Hoax,WRONG
231,"After turbulent week, Trump revisits talk of 'rigged election'",Factual,Hoax,WRONG
232,Watch Majority Whip Steve Scalise Return to Sanding Ovation on House Floor: ‘I’m back’ [Video],Hoax,Hoax,CORRECT
233,China says has made best effort on North Korea ahead of Trump visit,Factual,Factual,CORRECT
234, Moms With Transgender Kids Have A BRILLIANT Message For Anti-LGBT Conservatives (VIDEO),Hoax,Hoax,CORRECT
235,Putin ally wins right to develop prime Moscow plot: sources,Factual,Hoax,WRONG
236,Kosovo court jails four for 2016 parliament rocket attack,Factual,Hoax,WRONG
237, Donald Trump Just Posted The Weirdest Ad You’ll See This Entire Election (VIDEO),Hoax,Hoax,CORRECT
238,BRILLIANT! TUCKER CARLSON and AYAAN HIRSI ALI Discuss Terrorism and Trump’s Travel Order: He’s right about the danger of radical Islam [Video],Hoax,Hoax,CORRECT
239,BLACK CAUCUS MEMBER James Clyburn Suggests RACISM Is Motive For Rep. John Conyers Sexual Assault Accusers…”These Are All WHITE Women” [VIDEO],Hoax,Hoax,CORRECT
240,Singapore detains two for 'terrorism-related' activities,Factual,Hoax,WRONG
241,"‘Vote All You Want, The Secret Government Won’t Change.’",Hoax,Hoax,CORRECT
242,FAMILY LIVING ‘TRADITIONAL LIFESTYLE’ TORN APART: POLICE SEIZE 10 Homeschooled “Off Grid” Children From Their Family,Hoax,Hoax,CORRECT
243,Clinton far ahead in Electoral College race: Reuters/Ipsos poll,Factual,Hoax,WRONG
244,Britain preparing to transfer 400 million pounds to Iran - Telegraph newspaper,Factual,Hoax,WRONG
245,"Russia, North Korea discuss bilateral 2015 treaty: Russian embassy",Factual,Hoax,WRONG
246, This One Image Reveals The Right-Wing Racism That Fueled Flint’s Water Crisis (IMAGES),Hoax,Hoax,CORRECT
247," President Obama Wants A Woman To Be President, And That’s Not All (VIDEO)",Hoax,Factual,WRONG
248,WATCH: HOME IMPROVEMENT’S TIM ALLEN Reminds Us Of What A “Man’s Bathroom” Should Look Like,Hoax,Hoax,CORRECT
249,South China Sea code of conduct talks to be 'stabilizer' for region: China premier,Factual,Factual,CORRECT
250,LEFTIST BULLY ARTISTS Tell Ivanka Trump: “Get My Artwork Off Your Walls”…”I Am Embarrassed To Be Seen With You”,Hoax,Hoax,CORRECT
